date,currency_code,name,local_price,dollar_ex,dollar_price
2007-06-01,ZAR,South Africa,15.5,6.971,2.2234973461483287
2008-06-01,AED,UAE,10,3.67285,2.7226812965408334
2008-06-01,ARS,Argentina,11,3.0195,3.642987249544627
2008-06-01,AUD,Australia,3.45,1.026,3.3625730994152048
2008-06-01,BRL,Brazil,7.5,1.5846,4.73305566073457
2008-06-01,CAD,Canada,4.09,1.00355,4.07553186189029
2008-06-01,CHF,Switzerland,6.5,1.02215,6.359144939588123
2008-06-01,CLP,Chile,1550,494.65,3.13352875770747
2008-06-01,CNY,China,12.5,6.834,1.8290898448931812
2008-06-01,COP,Colombia,7000,1798.65,3.8918077446974118
2008-06-01,CRC,Costa Rica,1800,551.02,3.2666690864215457
2008-06-01,CZK,Czech Republic,66.08,14.49795,4.557885770057146
2008-06-01,DKK,Denmark,28,4.7044,5.9518748405747814
2008-06-01,EGP,Egypt,13,5.3125,2.447058823529412
2008-06-01,EUR,Euro area,3.36856,0.630497147,5.342704588003472
2008-06-01,GBP,Britain,2.29,0.501039657,4.5704965026351205
2008-06-01,HKD,Hong Kong,13.3,7.7974,1.7056967707184447
2008-06-01,HUF,Hungary,670,144.2578,4.644462899059877
2008-06-01,IDR,Indonesia,18700,9152,2.043269230769231
2008-06-01,JPY,Japan,280,106.855,2.6203734032099573
2008-06-01,KRW,South Korea,3200,1018.05,3.1432640832964984
2008-06-01,LKR,Sri Lanka,210,107.55,1.9525801952580195
2008-06-01,MXN,Mexico,32,10.1685,3.1469734965825835
2008-06-01,MYR,Malaysia,5.5,3.238,1.69857936998147
2008-06-01,NOK,Norway,40,5.07915,7.875333471151668
2008-06-01,NZD,New Zealand,4.9,1.3177,3.7186005919405023
2008-06-01,PKR,Pakistan,140,70.9,1.9746121297602255
2008-06-01,PEN,Peru,9.5,2.84,3.3450704225352115
2008-06-01,PHP,Philippines,87,44.485,1.955715409688659
2008-06-01,PLN,Poland,7,2.03145,3.4458145659504296
2008-06-01,RUB,Russia,59,23.2336,2.5394256593898494
2008-06-01,SAR,Saudi Arabia,10,3.74955,2.666986705071275
2008-06-01,SGD,Singapore,3.95,1.35275,2.9199778229532436
2008-06-01,SEK,Sweden,38,5.96085,6.374929749951769
2008-06-01,THB,Thailand,62,33.36,1.8585131894484412
2008-06-01,TRY,Turkey,5.15,1.19275,4.317753091595054
2008-06-01,TWD,Taiwan,75,30.3625,2.470152326060107
2008-06-01,UAH,Ukraine,11,4.6,2.3913043478260874
2008-06-01,UYU,Uruguay,61,19.15,3.1853785900783294
2008-06-01,USD,United States,3.21,1,3.21
2008-06-01,ZAR,South Africa,16.95,7.56325,2.2411000561927743
2009-07-01,AED,UAE,10,3.673,2.722570106180234
2009-07-01,ARS,Argentina,11.5,3.81125,3.0173827484421123
2009-07-01,AUD,Australia,4.34,1.2869,3.3724454114538815
2009-07-01,BRL,Brazil,8.03,1.9971,4.020830203795503
2009-07-01,CAD,Canada,3.89,1.16085,3.3509928069948747
2009-07-01,CHF,Switzerland,6.5,1.08605,5.984991482896736
2009-07-01,CLP,Chile,1750,548.55,3.19022878497858
2009-07-01,CNY,China,12.5,6.8327,1.8294378503373483
2009-07-01,COP,Colombia,7000,2095.6,3.340332124451231
2009-07-01,CRC,Costa Rica,2000,582.57,3.433063837822064
2009-07-01,CZK,Czech Republic,67.92,18.66155,3.6395690604478195
2009-07-01,DKK,Denmark,29.5,5.3375,5.526932084309133
2009-07-01,EGP,Egypt,13,5.58475,2.3277675813599537
2009-07-01,EUR,Euro area,3.31,0.716897269,4.6171189975616995
2009-07-01,GBP,Britain,2.29,0.620886626,3.688274000606352
2009-07-01,HKD,Hong Kong,13.3,7.7505,1.7160183213986195
2009-07-01,HUF,Hungary,720,199.1577,3.615225522287112
2009-07-01,IDR,Indonesia,20900,10200,2.049019607843137
2009-07-01,ILS,Israel,15,3.97425,3.774297037176826
2009-07-01,JPY,Japan,320,92.565,3.4570301949981097
2009-07-01,KRW,South Korea,3400,1314.5,2.586534804108026
2009-07-01,LKR,Sri Lanka,210,114.86,1.828312728539091
2009-07-01,MXN,Mexico,33,13.8104,2.389503562532584
2009-07-01,MYR,Malaysia,6.77,3.602,1.8795113825652414
2009-07-01,NOK,Norway,40,6.50925,6.1451012021354225
2009-07-01,NZD,New Zealand,4.9,1.59235,3.0772129242942823
2009-07-01,PKR,Pakistan,190,82.6,2.3002421307506054
2009-07-01,PEN,Peru,8.056,3.0274,2.661029266036863
2009-07-01,PHP,Philippines,99.39,48.385,2.054149013123902
2009-07-01,PLN,Poland,7.6,3.15525,2.4086839394659694
2009-07-01,RUB,Russia,67,32.7959,2.042938294116033
2009-07-01,SAR,Saudi Arabia,11,3.7504,2.9330204778157
2009-07-01,SGD,Singapore,4.22,1.4645,2.881529532263571
2009-07-01,SEK,Sweden,39,7.90915,4.93099764197164
2009-07-01,THB,Thailand,64.49,34.165,1.8876042733791891
2009-07-01,TRY,Turkey,5.65,1.55005,3.6450437082674756
2009-07-01,TWD,Taiwan,75,33.1755,2.2607044355021024
2009-07-01,UAH,Ukraine,14,7.66,1.8276762402088773
